"strain","rep","life_span","activity_type","time_d","activity"
"DL238",18,NA,"base","30",0
"DL238",18,NA,"base","33.5",0
"DL238",19,19,"stim","1.5",27
"DL238",19,19,"stim","3",138
"DL238",19,19,"stim","4.5",147
"DL238",19,19,"stim","6",256
"DL238",19,19,"stim","8",221
"DL238",19,19,"stim","9.5",221
"DL238",19,19,"stim","11.5",262
"DL238",19,19,"stim","13",239
"DL238",19,19,"stim","15",147
"DL238",19,19,"stim","17",32
"DL238",19,19,"stim","19",NA
"DL238",19,19,"stim","22",NA
"DL238",19,19,"stim","26.5",NA
"DL238",19,19,"stim","30",NA
"DL238",19,19,"stim","33.5",NA
"DL238",19,19,"base","1.5",0
"DL238",19,19,"base","3",291
"DL238",19,19,"base","4.5",163
"DL238",19,19,"base","6",297
"DL238",19,19,"base","8",230
"DL238",19,19,"base","9.5",303
"DL238",19,19,"base","11.5",264
"DL238",19,19,"base","13",238
"DL238",19,19,"base","15",277
"DL238",19,19,"base","17",16
"DL238",19,19,"base","19",NA
"DL238",19,19,"base","22",NA
"DL238",19,19,"base","26.5",NA
"DL238",19,19,"base","30",NA
"DL238",19,19,"base","33.5",NA
"DL238",20,NA,"stim","1.5",0
"DL238",20,NA,"stim","3",0
"DL238",20,NA,"stim","4.5",0
"DL238",20,NA,"stim","6",0
"DL238",20,NA,"stim","8",0
"DL238",20,NA,"stim","9.5",0
"DL238",20,NA,"stim","11.5",0
"DL238",20,NA,"stim","13",0
"DL238",20,NA,"stim","15",0
"DL238",20,NA,"stim","17",0
"DL238",20,NA,"stim","19",0
"DL238",20,NA,"stim","22",0
"DL238",20,NA,"stim","26.5",0
"DL238",20,NA,"stim","30",0
"DL238",20,NA,"stim","33.5",0
"DL238",20,NA,"base","1.5",0
"DL238",20,NA,"base","3",0
"DL238",20,NA,"base","4.5",0
"DL238",20,NA,"base","6",0
"DL238",20,NA,"base","8",0
"DL238",20,NA,"base","9.5",0
"DL238",20,NA,"base","11.5",0
"DL238",20,NA,"base","13",0
"DL238",20,NA,"base","15",0
"DL238",20,NA,"base","17",0
"DL238",20,NA,"base","19",0
"DL238",20,NA,"base","22",0
"DL238",20,NA,"base","26.5",0
"DL238",20,NA,"base","30",0
"DL238",20,NA,"base","33.5",0
"ED3017",1,19,"stim","1.5",99
"ED3017",1,19,"stim","3",24
"ED3017",1,19,"stim","4.5",283
"ED3017",1,19,"stim","6",278
"ED3017",1,19,"stim","8",134
"ED3017",1,19,"stim","9.5",137
"ED3017",1,19,"stim","11.5",37
"ED3017",1,19,"stim","13",206
"ED3017",1,19,"stim","15",0
"ED3017",1,19,"stim","17",45
"ED3017",1,19,"stim","19",NA
"ED3017",1,19,"stim","22",NA
"ED3017",1,19,"stim","26.5",NA
"ED3017",1,19,"stim","30",NA
"ED3017",1,19,"stim","33.5",NA
"ED3017",1,19,"base","1.5",0
"ED3017",1,19,"base","3",1345
"ED3017",1,19,"base","4.5",264
"ED3017",1,19,"base","6",278
"ED3017",1,19,"base","8",161
"ED3017",1,19,"base","9.5",29
"ED3017",1,19,"base","11.5",124
"ED3017",1,19,"base","13",230
"ED3017",1,19,"base","15",0
"ED3017",1,19,"base","17",35
"ED3017",1,19,"base","19",NA
"ED3017",1,19,"base","22",NA
"ED3017",1,19,"base","26.5",NA
"ED3017",1,19,"base","30",NA
"ED3017",1,19,"base","33.5",NA
"ED3017",2,13,"stim","1.5",2
"ED3017",2,13,"stim","3",199
"ED3017",2,13,"stim","4.5",163
"ED3017",2,13,"stim","6",216
"ED3017",2,13,"stim","8",15
"ED3017",2,13,"stim","9.5",144
"ED3017",2,13,"stim","11.5",25
"ED3017",2,13,"stim","13",NA
"ED3017",2,13,"stim","15",NA
"ED3017",2,13,"stim","17",NA
"ED3017",2,13,"stim","19",NA
"ED3017",2,13,"stim","22",NA
"ED3017",2,13,"stim","26.5",NA
"ED3017",2,13,"stim","30",NA
"ED3017",2,13,"stim","33.5",NA
"ED3017",2,13,"base","1.5",0
"ED3017",2,13,"base","3",1954
"ED3017",2,13,"base","4.5",41
"ED3017",2,13,"base","6",56
"ED3017",2,13,"base","8",46
"ED3017",2,13,"base","9.5",130
"ED3017",2,13,"base","11.5",164
"ED3017",2,13,"base","13",NA
"ED3017",2,13,"base","15",NA
"ED3017",2,13,"base","17",NA
"ED3017",2,13,"base","19",NA
"ED3017",2,13,"base","22",NA
"ED3017",2,13,"base","26.5",NA
"ED3017",2,13,"base","30",NA
"ED3017",2,13,"base","33.5",NA
"ED3017",3,11.5,"stim","1.5",88
"ED3017",3,11.5,"stim","3",234
"ED3017",3,11.5,"stim","4.5",46
"ED3017",3,11.5,"stim","6",172
"ED3017",3,11.5,"stim","8",169
"ED3017",3,11.5,"stim","9.5",194
"ED3017",3,11.5,"stim","11.5",NA
"ED3017",3,11.5,"stim","13",NA
"ED3017",3,11.5,"stim","15",NA
"ED3017",3,11.5,"stim","17",NA
"ED3017",3,11.5,"stim","19",NA
"ED3017",3,11.5,"stim","22",NA
"ED3017",3,11.5,"stim","26.5",NA
"ED3017",3,11.5,"stim","30",NA
"ED3017",3,11.5,"stim","33.5",NA
"ED3017",3,11.5,"base","1.5",59
"ED3017",3,11.5,"base","3",922
"ED3017",3,11.5,"base","4.5",163
"ED3017",3,11.5,"base","6",219
"ED3017",3,11.5,"base","8",133
"ED3017",3,11.5,"base","9.5",178
"ED3017",3,11.5,"base","11.5",NA
"ED3017",3,11.5,"base","13",NA
"ED3017",3,11.5,"base","15",NA
"ED3017",3,11.5,"base","17",NA
"ED3017",3,11.5,"base","19",NA
"ED3017",3,11.5,"base","22",NA
"ED3017",3,11.5,"base","26.5",NA
"ED3017",3,11.5,"base","30",NA
"ED3017",3,11.5,"base","33.5",NA
"ED3017",4,22,"stim","1.5",53
"ED3017",4,22,"stim","3",85
"ED3017",4,22,"stim","4.5",8
"ED3017",4,22,"stim","6",128
"ED3017",4,22,"stim","8",164
"ED3017",4,22,"stim","9.5",124
"ED3017",4,22,"stim","11.5",246
"ED3017",4,22,"stim","13",76
"ED3017",4,22,"stim","15",194
"ED3017",4,22,"stim","17",40
"ED3017",4,22,"stim","19",133
"ED3017",4,22,"stim","22",NA
"ED3017",4,22,"stim","26.5",NA
"ED3017",4,22,"stim","30",NA
"ED3017",4,22,"stim","33.5",NA
"ED3017",4,22,"base","1.5",86
"ED3017",4,22,"base","3",163
"ED3017",4,22,"base","4.5",113
"ED3017",4,22,"base","6",154
"ED3017",4,22,"base","8",154
"ED3017",4,22,"base","9.5",46
"ED3017",4,22,"base","11.5",145
"ED3017",4,22,"base","13",201
"ED3017",4,22,"base","15",195
"ED3017",4,22,"base","17",82
"ED3017",4,22,"base","19",54
"ED3017",4,22,"base","22",NA
"ED3017",4,22,"base","26.5",NA
"ED3017",4,22,"base","30",NA
"ED3017",4,22,"base","33.5",NA
"ED3017",5,19,"stim","1.5",85
"ED3017",5,19,"stim","3",91
"ED3017",5,19,"stim","4.5",247
"ED3017",5,19,"stim","6",200
"ED3017",5,19,"stim","8",120
"ED3017",5,19,"stim","9.5",41
"ED3017",5,19,"stim","11.5",0
"ED3017",5,19,"stim","13",141
"ED3017",5,19,"stim","15",68
"ED3017",5,19,"stim","17",137
"ED3017",5,19,"stim","19",NA
"ED3017",5,19,"stim","22",NA
"ED3017",5,19,"stim","26.5",NA
"ED3017",5,19,"stim","30",NA
"ED3017",5,19,"stim","33.5",NA
"ED3017",5,19,"base","1.5",0
"ED3017",5,19,"base","3",127
"ED3017",5,19,"base","4.5",82
"ED3017",5,19,"base","6",236
"ED3017",5,19,"base","8",213
"ED3017",5,19,"base","9.5",138
"ED3017",5,19,"base","11.5",24
"ED3017",5,19,"base","13",244
"ED3017",5,19,"base","15",69
"ED3017",5,19,"base","17",7
"ED3017",5,19,"base","19",NA
"ED3017",5,19,"base","22",NA
"ED3017",5,19,"base","26.5",NA
"ED3017",5,19,"base","30",NA
"ED3017",5,19,"base","33.5",NA
"ED3017",6,15,"stim","1.5",105
"ED3017",6,15,"stim","3",104
"ED3017",6,15,"stim","4.5",89
"ED3017",6,15,"stim","6",210
"ED3017",6,15,"stim","8",118
"ED3017",6,15,"stim","9.5",29
"ED3017",6,15,"stim","11.5",130
"ED3017",6,15,"stim","13",79
"ED3017",6,15,"stim","15",NA
"ED3017",6,15,"stim","17",NA
"ED3017",6,15,"stim","19",NA
"ED3017",6,15,"stim","22",NA
"ED3017",6,15,"stim","26.5",NA
"ED3017",6,15,"stim","30",NA
"ED3017",6,15,"stim","33.5",NA
"ED3017",6,15,"base","1.5",146
"ED3017",6,15,"base","3",178
"ED3017",6,15,"base","4.5",202
"ED3017",6,15,"base","6",229
"ED3017",6,15,"base","8",201
"ED3017",6,15,"base","9.5",29
"ED3017",6,15,"base","11.5",167
"ED3017",6,15,"base","13",144
"ED3017",6,15,"base","15",NA
"ED3017",6,15,"base","17",NA
"ED3017",6,15,"base","19",NA
"ED3017",6,15,"base","22",NA
"ED3017",6,15,"base","26.5",NA
"ED3017",6,15,"base","30",NA
"ED3017",6,15,"base","33.5",NA
"ED3017",7,NA,"stim","1.5",0
"ED3017",7,NA,"stim","3",0
"ED3017",7,NA,"stim","4.5",0
"ED3017",7,NA,"stim","6",0
"ED3017",7,NA,"stim","8",0
"ED3017",7,NA,"stim","9.5",0
"ED3017",7,NA,"stim","11.5",0
"ED3017",7,NA,"stim","13",0
"ED3017",7,NA,"stim","15",0
"ED3017",7,NA,"stim","17",0
"ED3017",7,NA,"stim","19",0
"ED3017",7,NA,"stim","22",0
"ED3017",7,NA,"stim","26.5",0
"ED3017",7,NA,"stim","30",0
"ED3017",7,NA,"stim","33.5",0
"ED3017",7,NA,"base","1.5",0
"ED3017",7,NA,"base","3",0
"ED3017",7,NA,"base","4.5",0
"ED3017",7,NA,"base","6",0
"ED3017",7,NA,"base","8",0
"ED3017",7,NA,"base","9.5",0
"ED3017",7,NA,"base","11.5",0
"ED3017",7,NA,"base","13",0
"ED3017",7,NA,"base","15",0
"ED3017",7,NA,"base","17",0
"ED3017",7,NA,"base","19",0
"ED3017",7,NA,"base","22",0
"ED3017",7,NA,"base","26.5",0
"ED3017",7,NA,"base","30",0
"ED3017",7,NA,"base","33.5",0
"ED3017",8,17,"stim","1.5",1
"ED3017",8,17,"stim","3",36
"ED3017",8,17,"stim","4.5",0
"ED3017",8,17,"stim","6",53
"ED3017",8,17,"stim","8",1
"ED3017",8,17,"stim","9.5",34
"ED3017",8,17,"stim","11.5",0
"ED3017",8,17,"stim","13",119
"ED3017",8,17,"stim","15",3
"ED3017",8,17,"stim","17",NA
"ED3017",8,17,"stim","19",NA
"ED3017",8,17,"stim","22",NA
"ED3017",8,17,"stim","26.5",NA
"ED3017",8,17,"stim","30",NA
"ED3017",8,17,"stim","33.5",NA
"ED3017",8,17,"base","1.5",0
"ED3017",8,17,"base","3",52
"ED3017",8,17,"base","4.5",109
"ED3017",8,17,"base","6",15
"ED3017",8,17,"base","8",91
"ED3017",8,17,"base","9.5",52
"ED3017",8,17,"base","11.5",0
"ED3017",8,17,"base","13",22
"ED3017",8,17,"base","15",16
"ED3017",8,17,"base","17",NA
"ED3017",8,17,"base","19",NA
"ED3017",8,17,"base","22",NA
"ED3017",8,17,"base","26.5",NA
"ED3017",8,17,"base","30",NA
"ED3017",8,17,"base","33.5",NA
"ED3017",9,19,"stim","1.5",4
"ED3017",9,19,"stim","3",73
"ED3017",9,19,"stim","4.5",82
"ED3017",9,19,"stim","6",124
"ED3017",9,19,"stim","8",201
"ED3017",9,19,"stim","9.5",26
"ED3017",9,19,"stim","11.5",89
"ED3017",9,19,"stim","13",60
"ED3017",9,19,"stim","15",0
"ED3017",9,19,"stim","17",8
"ED3017",9,19,"stim","19",NA
"ED3017",9,19,"stim","22",NA
"ED3017",9,19,"stim","26.5",NA
"ED3017",9,19,"stim","30",NA
"ED3017",9,19,"stim","33.5",NA
"ED3017",9,19,"base","1.5",3
"ED3017",9,19,"base","3",112
"ED3017",9,19,"base","4.5",111
"ED3017",9,19,"base","6",122
"ED3017",9,19,"base","8",137
"ED3017",9,19,"base","9.5",160
"ED3017",9,19,"base","11.5",145
"ED3017",9,19,"base","13",2
"ED3017",9,19,"base","15",0
"ED3017",9,19,"base","17",0
"ED3017",9,19,"base","19",NA
"ED3017",9,19,"base","22",NA
"ED3017",9,19,"base","26.5",NA
"ED3017",9,19,"base","30",NA
"ED3017",9,19,"base","33.5",NA
"ED3017",10,22,"stim","1.5",36
"ED3017",10,22,"stim","3",1
"ED3017",10,22,"stim","4.5",48
"ED3017",10,22,"stim","6",126
"ED3017",10,22,"stim","8",33
"ED3017",10,22,"stim","9.5",8
"ED3017",10,22,"stim","11.5",9
"ED3017",10,22,"stim","13",94
"ED3017",10,22,"stim","15",2
"ED3017",10,22,"stim","17",15
"ED3017",10,22,"stim","19",29
"ED3017",10,22,"stim","22",NA
"ED3017",10,22,"stim","26.5",NA
"ED3017",10,22,"stim","30",NA
"ED3017",10,22,"stim","33.5",NA
"ED3017",10,22,"base","1.5",9
"ED3017",10,22,"base","3",3
"ED3017",10,22,"base","4.5",50
"ED3017",10,22,"base","6",166
"ED3017",10,22,"base","8",51
"ED3017",10,22,"base","9.5",193
"ED3017",10,22,"base","11.5",0
"ED3017",10,22,"base","13",90
"ED3017",10,22,"base","15",3
"ED3017",10,22,"base","17",0
"ED3017",10,22,"base","19",33
"ED3017",10,22,"base","22",NA
"ED3017",10,22,"base","26.5",NA
"ED3017",10,22,"base","30",NA
"ED3017",10,22,"base","33.5",NA
"ED3017",11,19,"stim","1.5",2
"ED3017",11,19,"stim","3",52
"ED3017",11,19,"stim","4.5",9
"ED3017",11,19,"stim","6",58
"ED3017",11,19,"stim","8",37
"ED3017",11,19,"stim","9.5",42
"ED3017",11,19,"stim","11.5",105
"ED3017",11,19,"stim","13",59
"ED3017",11,19,"stim","15",0
"ED3017",11,19,"stim","17",137
"ED3017",11,19,"stim","19",NA
"ED3017",11,19,"stim","22",NA
"ED3017",11,19,"stim","26.5",NA
"ED3017",11,19,"stim","30",NA
"ED3017",11,19,"stim","33.5",NA
"ED3017",11,19,"base","1.5",1
"ED3017",11,19,"base","3",0
"ED3017",11,19,"base","4.5",80
"ED3017",11,19,"base","6",29
"ED3017",11,19,"base","8",58
"ED3017",11,19,"base","9.5",135
"ED3017",11,19,"base","11.5",52
"ED3017",11,19,"base","13",50
"ED3017",11,19,"base","15",13
"ED3017",11,19,"base","17",55
"ED3017",11,19,"base","19",NA
"ED3017",11,19,"base","22",NA
"ED3017",11,19,"base","26.5",NA
"ED3017",11,19,"base","30",NA
"ED3017",11,19,"base","33.5",NA
"ED3017",12,22,"stim","1.5",27
"ED3017",12,22,"stim","3",0
"ED3017",12,22,"stim","4.5",60
"ED3017",12,22,"stim","6",46
"ED3017",12,22,"stim","8",53
"ED3017",12,22,"stim","9.5",95
"ED3017",12,22,"stim","11.5",22
"ED3017",12,22,"stim","13",62
"ED3017",12,22,"stim","15",74
"ED3017",12,22,"stim","17",3
"ED3017",12,22,"stim","19",42
"ED3017",12,22,"stim","22",NA
"ED3017",12,22,"stim","26.5",NA
"ED3017",12,22,"stim","30",NA
"ED3017",12,22,"stim","33.5",NA
"ED3017",12,22,"base","1.5",47
"ED3017",12,22,"base","3",0
"ED3017",12,22,"base","4.5",42
"ED3017",12,22,"base","6",16
"ED3017",12,22,"base","8",12
"ED3017",12,22,"base","9.5",15
"ED3017",12,22,"base","11.5",65
"ED3017",12,22,"base","13",19
"ED3017",12,22,"base","15",65
"ED3017",12,22,"base","17",0
"ED3017",12,22,"base","19",118
"ED3017",12,22,"base","22",NA
"ED3017",12,22,"base","26.5",NA
"ED3017",12,22,"base","30",NA
"ED3017",12,22,"base","33.5",NA
"ED3017",13,NA,"stim","1.5",0
"ED3017",13,NA,"stim","3",0
"ED3017",13,NA,"stim","4.5",0
"ED3017",13,NA,"stim","6",0
"ED3017",13,NA,"stim","8",0
"ED3017",13,NA,"stim","9.5",0
"ED3017",13,NA,"stim","11.5",0
"ED3017",13,NA,"stim","13",0
"ED3017",13,NA,"stim","15",0
"ED3017",13,NA,"stim","17",0
"ED3017",13,NA,"stim","19",0
"ED3017",13,NA,"stim","22",0
"ED3017",13,NA,"stim","26.5",0
"ED3017",13,NA,"stim","30",0
"ED3017",13,NA,"stim","33.5",0
"ED3017",13,NA,"base","1.5",0
"ED3017",13,NA,"base","3",0
"ED3017",13,NA,"base","4.5",0
"ED3017",13,NA,"base","6",0
"ED3017",13,NA,"base","8",0
"ED3017",13,NA,"base","9.5",0
"ED3017",13,NA,"base","11.5",0
"ED3017",13,NA,"base","13",0
"ED3017",13,NA,"base","15",0
"ED3017",13,NA,"base","17",0
"ED3017",13,NA,"base","19",0
"ED3017",13,NA,"base","22",0
"ED3017",13,NA,"base","26.5",0
"ED3017",13,NA,"base","30",0
"ED3017",13,NA,"base","33.5",0
"ED3017",14,22,"stim","1.5",143
"ED3017",14,22,"stim","3",205
"ED3017",14,22,"stim","4.5",93
"ED3017",14,22,"stim","6",80
"ED3017",14,22,"stim","8",193
"ED3017",14,22,"stim","9.5",240
"ED3017",14,22,"stim","11.5",1
"ED3017",14,22,"stim","13",177
"ED3017",14,22,"stim","15",0
"ED3017",14,22,"stim","17",0
"ED3017",14,22,"stim","19",103
"ED3017",14,22,"stim","22",NA
"ED3017",14,22,"stim","26.5",NA
"ED3017",14,22,"stim","30",NA
"ED3017",14,22,"stim","33.5",NA
"ED3017",14,22,"base","1.5",0
"ED3017",14,22,"base","3",98
"ED3017",14,22,"base","4.5",128
"ED3017",14,22,"base","6",139
"ED3017",14,22,"base","8",170
"ED3017",14,22,"base","9.5",214
"ED3017",14,22,"base","11.5",0
"ED3017",14,22,"base","13",108
"ED3017",14,22,"base","15",0
"ED3017",14,22,"base","17",0
"ED3017",14,22,"base","19",21
"ED3017",14,22,"base","22",NA
"ED3017",14,22,"base","26.5",NA
"ED3017",14,22,"base","30",NA
"ED3017",14,22,"base","33.5",NA
"ED3017",15,22,"stim","1.5",84
"ED3017",15,22,"stim","3",217
"ED3017",15,22,"stim","4.5",178
"ED3017",15,22,"stim","6",88
"ED3017",15,22,"stim","8",174
"ED3017",15,22,"stim","9.5",150
"ED3017",15,22,"stim","11.5",145
"ED3017",15,22,"stim","13",119
"ED3017",15,22,"stim","15",6
"ED3017",15,22,"stim","17",0
"ED3017",15,22,"stim","19",34
"ED3017",15,22,"stim","22",NA
"ED3017",15,22,"stim","26.5",NA
"ED3017",15,22,"stim","30",NA
"ED3017",15,22,"stim","33.5",NA
"ED3017",15,22,"base","1.5",33
"ED3017",15,22,"base","3",150
"ED3017",15,22,"base","4.5",129
"ED3017",15,22,"base","6",159
"ED3017",15,22,"base","8",143
"ED3017",15,22,"base","9.5",192
"ED3017",15,22,"base","11.5",172
"ED3017",15,22,"base","13",214
"ED3017",15,22,"base","15",83
"ED3017",15,22,"base","17",0
"ED3017",15,22,"base","19",21
"ED3017",15,22,"base","22",NA
"ED3017",15,22,"base","26.5",NA
"ED3017",15,22,"base","30",NA
"ED3017",15,22,"base","33.5",NA
"ED3017",16,17,"stim","1.5",0
"ED3017",16,17,"stim","3",34
"ED3017",16,17,"stim","4.5",20
"ED3017",16,17,"stim","6",56
"ED3017",16,17,"stim","8",42
"ED3017",16,17,"stim","9.5",80
"ED3017",16,17,"stim","11.5",111
"ED3017",16,17,"stim","13",22
"ED3017",16,17,"stim","15",16
"ED3017",16,17,"stim","17",NA
"ED3017",16,17,"stim","19",NA
"ED3017",16,17,"stim","22",NA
"ED3017",16,17,"stim","26.5",NA
"ED3017",16,17,"stim","30",NA
"ED3017",16,17,"stim","33.5",NA
"ED3017",16,17,"base","1.5",0
"ED3017",16,17,"base","3",85
"ED3017",16,17,"base","4.5",119
"ED3017",16,17,"base","6",1
"ED3017",16,17,"base","8",96
"ED3017",16,17,"base","9.5",81
"ED3017",16,17,"base","11.5",25
"ED3017",16,17,"base","13",20
"ED3017",16,17,"base","15",25
"ED3017",16,17,"base","17",NA
"ED3017",16,17,"base","19",NA
"ED3017",16,17,"base","22",NA
"ED3017",16,17,"base","26.5",NA
"ED3017",16,17,"base","30",NA
"ED3017",16,17,"base","33.5",NA
"ED3017",17,22,"stim","1.5",0
"ED3017",17,22,"stim","3",98
"ED3017",17,22,"stim","4.5",84
"ED3017",17,22,"stim","6",48
"ED3017",17,22,"stim","8",110
"ED3017",17,22,"stim","9.5",158
"ED3017",17,22,"stim","11.5",0
"ED3017",17,22,"stim","13",5
"ED3017",17,22,"stim","15",15
"ED3017",17,22,"stim","17",43
"ED3017",17,22,"stim","19",93
"ED3017",17,22,"stim","22",NA
"ED3017",17,22,"stim","26.5",NA
"ED3017",17,22,"stim","30",NA
"ED3017",17,22,"stim","33.5",NA
"ED3017",17,22,"base","1.5",0
"ED3017",17,22,"base","3",58
"ED3017",17,22,"base","4.5",43
"ED3017",17,22,"base","6",264
"ED3017",17,22,"base","8",81
"ED3017",17,22,"base","9.5",153
"ED3017",17,22,"base","11.5",4
"ED3017",17,22,"base","13",17
"ED3017",17,22,"base","15",28
"ED3017",17,22,"base","17",25
"ED3017",17,22,"base","19",82
"ED3017",17,22,"base","22",NA
"ED3017",17,22,"base","26.5",NA
"ED3017",17,22,"base","30",NA
"ED3017",17,22,"base","33.5",NA
"ED3017",18,17,"stim","1.5",162
"ED3017",18,17,"stim","3",90
"ED3017",18,17,"stim","4.5",49
"ED3017",18,17,"stim","6",226
"ED3017",18,17,"stim","8",297
"ED3017",18,17,"stim","9.5",139
"ED3017",18,17,"stim","11.5",226
"ED3017",18,17,"stim","13",64
"ED3017",18,17,"stim","15",7
"ED3017",18,17,"stim","17",NA
"ED3017",18,17,"stim","19",NA
"ED3017",18,17,"stim","22",NA
"ED3017",18,17,"stim","26.5",NA
"ED3017",18,17,"stim","30",NA
"ED3017",18,17,"stim","33.5",NA
"ED3017",18,17,"base","1.5",144
"ED3017",18,17,"base","3",80
"ED3017",18,17,"base","4.5",85
"ED3017",18,17,"base","6",20
"ED3017",18,17,"base","8",222
"ED3017",18,17,"base","9.5",43
"ED3017",18,17,"base","11.5",174
"ED3017",18,17,"base","13",162
"ED3017",18,17,"base","15",127
"ED3017",18,17,"base","17",NA
"ED3017",18,17,"base","19",NA
"ED3017",18,17,"base","22",NA
"ED3017",18,17,"base","26.5",NA
"ED3017",18,17,"base","30",NA
"ED3017",18,17,"base","33.5",NA
"ED3017",19,15,"stim","1.5",19
"ED3017",19,15,"stim","3",74
"ED3017",19,15,"stim","4.5",0
"ED3017",19,15,"stim","6",24
"ED3017",19,15,"stim","8",0
"ED3017",19,15,"stim","9.5",18
"ED3017",19,15,"stim","11.5",4
"ED3017",19,15,"stim","13",124
"ED3017",19,15,"stim","15",NA
"ED3017",19,15,"stim","17",NA
"ED3017",19,15,"stim","19",NA
"ED3017",19,15,"stim","22",NA
"ED3017",19,15,"stim","26.5",NA
"ED3017",19,15,"stim","30",NA
"ED3017",19,15,"stim","33.5",NA
"ED3017",19,15,"base","1.5",117
"ED3017",19,15,"base","3",70
"ED3017",19,15,"base","4.5",19
"ED3017",19,15,"base","6",96
"ED3017",19,15,"base","8",87
"ED3017",19,15,"base","9.5",3
"ED3017",19,15,"base","11.5",130
"ED3017",19,15,"base","13",88
"ED3017",19,15,"base","15",NA
"ED3017",19,15,"base","17",NA
"ED3017",19,15,"base","19",NA
"ED3017",19,15,"base","22",NA
"ED3017",19,15,"base","26.5",NA
"ED3017",19,15,"base","30",NA
"ED3017",19,15,"base","33.5",NA
"ED3017",20,17,"stim","1.5",46
"ED3017",20,17,"stim","3",83
"ED3017",20,17,"stim","4.5",63
"ED3017",20,17,"stim","6",64
"ED3017",20,17,"stim","8",29
"ED3017",20,17,"stim","9.5",0
"ED3017",20,17,"stim","11.5",15
"ED3017",20,17,"stim","13",71
"ED3017",20,17,"stim","15",12
"ED3017",20,17,"stim","17",NA
"ED3017",20,17,"stim","19",NA
"ED3017",20,17,"stim","22",NA
"ED3017",20,17,"stim","26.5",NA
"ED3017",20,17,"stim","30",NA
"ED3017",20,17,"stim","33.5",NA
"ED3017",20,17,"base","1.5",77
"ED3017",20,17,"base","3",0
"ED3017",20,17,"base","4.5",6
"ED3017",20,17,"base","6",31
"ED3017",20,17,"base","8",123
"ED3017",20,17,"base","9.5",0
"ED3017",20,17,"base","11.5",132
"ED3017",20,17,"base","13",141
"ED3017",20,17,"base","15",0
"ED3017",20,17,"base","17",NA
"ED3017",20,17,"base","19",NA
"ED3017",20,17,"base","22",NA
"ED3017",20,17,"base","26.5",NA
"ED3017",20,17,"base","30",NA
"ED3017",20,17,"base","33.5",NA
"EG4725",1,26.5,"stim","1.5",37
"EG4725",1,26.5,"stim","3",16
"EG4725",1,26.5,"stim","4.5",0
"EG4725",1,26.5,"stim","6",28
"EG4725",1,26.5,"stim","8",0
"EG4725",1,26.5,"stim","9.5",77
"EG4725",1,26.5,"stim","11.5",216
"EG4725",1,26.5,"stim","13",0
"EG4725",1,26.5,"stim","15",0
"EG4725",1,26.5,"stim","17",0
"EG4725",1,26.5,"stim","19",0
"EG4725",1,26.5,"stim","22",64
"EG4725",1,26.5,"stim","26.5",NA
"EG4725",1,26.5,"stim","30",NA
"EG4725",1,26.5,"stim","33.5",NA
"EG4725",1,26.5,"base","1.5",89
"EG4725",1,26.5,"base","3",87
"EG4725",1,26.5,"base","4.5",0
"EG4725",1,26.5,"base","6",28
"EG4725",1,26.5,"base","8",86
"EG4725",1,26.5,"base","9.5",65
"EG4725",1,26.5,"base","11.5",279
"EG4725",1,26.5,"base","13",0
"EG4725",1,26.5,"base","15",0
"EG4725",1,26.5,"base","17",0
"EG4725",1,26.5,"base","19",0
"EG4725",1,26.5,"base","22",0
"EG4725",1,26.5,"base","26.5",NA
"EG4725",1,26.5,"base","30",NA
"EG4725",1,26.5,"base","33.5",NA
"EG4725",2,22,"stim","1.5",127
"EG4725",2,22,"stim","3",196
"EG4725",2,22,"stim","4.5",29
"EG4725",2,22,"stim","6",237
"EG4725",2,22,"stim","8",60
"EG4725",2,22,"stim","9.5",85
"EG4725",2,22,"stim","11.5",189
"EG4725",2,22,"stim","13",115
"EG4725",2,22,"stim","15",0
"EG4725",2,22,"stim","17",3
"EG4725",2,22,"stim","19",138
"EG4725",2,22,"stim","22",NA
"EG4725",2,22,"stim","26.5",NA
"EG4725",2,22,"stim","30",NA
"EG4725",2,22,"stim","33.5",NA
"EG4725",2,22,"base","1.5",123
"EG4725",2,22,"base","3",187
"EG4725",2,22,"base","4.5",271
"EG4725",2,22,"base","6",217
"EG4725",2,22,"base","8",0
"EG4725",2,22,"base","9.5",183
"EG4725",2,22,"base","11.5",8
"EG4725",2,22,"base","13",38
"EG4725",2,22,"base","15",0
"EG4725",2,22,"base","17",22
"EG4725",2,22,"base","19",139
"EG4725",2,22,"base","22",NA
"EG4725",2,22,"base","26.5",NA
"EG4725",2,22,"base","30",NA
"EG4725",2,22,"base","33.5",NA
"EG4725",3,11.5,"stim","1.5",149
"EG4725",3,11.5,"stim","3",96
"EG4725",3,11.5,"stim","4.5",26
"EG4725",3,11.5,"stim","6",204
"EG4725",3,11.5,"stim","8",159
"EG4725",3,11.5,"stim","9.5",109
"EG4725",3,11.5,"stim","11.5",NA
"EG4725",3,11.5,"stim","13",NA
"EG4725",3,11.5,"stim","15",NA
"EG4725",3,11.5,"stim","17",NA
"EG4725",3,11.5,"stim","19",NA
"EG4725",3,11.5,"stim","22",NA
"EG4725",3,11.5,"stim","26.5",NA
"EG4725",3,11.5,"stim","30",NA
"EG4725",3,11.5,"stim","33.5",NA
"EG4725",3,11.5,"base","1.5",0
"EG4725",3,11.5,"base","3",79
"EG4725",3,11.5,"base","4.5",171
