Device,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition 1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature, Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d),Duration Not Fast Moving (d),Longest Gap in Measurement (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,32.7773,1.16667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,32.3606,3.75,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,32.0273,2.70833,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,29.4023,4.5,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,22.7356,4.20833,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,19.9439,0.166667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,19.1939,3.375,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_b::2,CX11314::3::40::20::OP50-1::CeNDR,b::2,2,b,3.05156,6.03125,1.90938,1.90625,CX11314,,,3,40,20,20,OP50-1,CeNDR,,,,1,18.2356,2.66667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,42.621,15.4167,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,41.7877,2.79167,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
