Plate Number,Genotype,Well Number,Lifespan Estimate (Days),Healthspan Estimate (Days),Activity Type,Time Point (Days),Activity
1,JU258,2,14.5,10.5,-1,10.5,1193
1,JU258,2,14.5,10.5,-1,11,1320
1,JU258,2,14.5,10.5,-1,11.5,892
1,JU258,2,14.5,10.5,-1,12,329
1,JU258,2,14.5,10.5,-1,12.5,512
1,JU258,2,14.5,10.5,-1,13,224
1,JU258,2,14.5,10.5,-1,13.5,86
1,JU258,2,14.5,10.5,-1,14.5,219
1,JU258,2,14.5,10.5,-1,15,64
1,JU258,2,14.5,10.5,-1,15.5,150
1,JU258,2,14.5,10.5,-1,16,8
1,JU258,2,14.5,10.5,-1,16.5,30
1,JU258,2,14.5,10.5,-1,17,33
1,JU258,2,14.5,10.5,-1,17.5,0
1,JU258,2,14.5,10.5,-1,18,0
1,JU258,2,14.5,10.5,-2,1.5,203
1,JU258,2,14.5,10.5,-2,2,21
1,JU258,2,14.5,10.5,-2,2.5,264
1,JU258,2,14.5,10.5,-2,3,155
1,JU258,2,14.5,10.5,-2,3.5,0
1,JU258,2,14.5,10.5,-2,4,0
1,JU258,2,14.5,10.5,-2,4.5,1106
1,JU258,2,14.5,10.5,-2,5,1441
1,JU258,2,14.5,10.5,-2,5.5,0
1,JU258,2,14.5,10.5,-2,6,1771
1,JU258,2,14.5,10.5,-2,6.5,0
1,JU258,2,14.5,10.5,-2,7,0
1,JU258,2,14.5,10.5,-2,7.5,2228
1,JU258,2,14.5,10.5,-2,8,2368
1,JU258,2,14.5,10.5,-2,8.5,2340
1,JU258,2,14.5,10.5,-2,9,2285
1,JU258,2,14.5,10.5,-2,9.5,1543
1,JU258,2,14.5,10.5,-2,10,1493
1,JU258,2,14.5,10.5,-2,10.5,896
1,JU258,2,14.5,10.5,-2,11,948
1,JU258,2,14.5,10.5,-2,11.5,656
1,JU258,2,14.5,10.5,-2,12,99
1,JU258,2,14.5,10.5,-2,12.5,236
1,JU258,2,14.5,10.5,-2,13,52
1,JU258,2,14.5,10.5,-2,13.5,90
1,JU258,2,14.5,10.5,-2,14.5,13
1,JU258,2,14.5,10.5,-2,15,82
1,JU258,2,14.5,10.5,-2,15.5,100
1,JU258,2,14.5,10.5,-2,16,33
1,JU258,2,14.5,10.5,-2,16.5,76
1,JU258,2,14.5,10.5,-2,17,0
1,JU258,2,14.5,10.5,-2,17.5,0
1,JU258,2,14.5,10.5,-2,18,0
1,LKC34,1,16,8.5,-1,1.5,220
1,LKC34,1,16,8.5,-1,2,1276
1,LKC34,1,16,8.5,-1,2.5,1360
1,LKC34,1,16,8.5,-1,3,1603
1,LKC34,1,16,8.5,-1,3.5,0
1,LKC34,1,16,8.5,-1,4,0
1,LKC34,1,16,8.5,-1,4.5,1421
1,LKC34,1,16,8.5,-1,5,1326
1,LKC34,1,16,8.5,-1,5.5,0
1,LKC34,1,16,8.5,-1,6,1989
1,LKC34,1,16,8.5,-1,6.5,0
1,LKC34,1,16,8.5,-1,7,0
1,LKC34,1,16,8.5,-1,7.5,650
1,LKC34,1,16,8.5,-1,8,399
1,LKC34,1,16,8.5,-1,8.5,396
1,LKC34,1,16,8.5,-1,9,370
1,LKC34,1,16,8.5,-1,9.5,160
1,LKC34,1,16,8.5,-1,10,200
1,LKC34,1,16,8.5,-1,10.5,156
1,LKC34,1,16,8.5,-1,11,134
1,LKC34,1,16,8.5,-1,11.5,105
1,LKC34,1,16,8.5,-1,12,77
1,LKC34,1,16,8.5,-1,12.5,81
1,LKC34,1,16,8.5,-1,13,32
1,LKC34,1,16,8.5,-1,13.5,45
1,LKC34,1,16,8.5,-1,14.5,42
1,LKC34,1,16,8.5,-1,15,14
1,LKC34,1,16,8.5,-1,15.5,37
1,LKC34,1,16,8.5,-1,16,92
1,LKC34,1,16,8.5,-1,16.5,0
1,LKC34,1,16,8.5,-1,17,42
1,LKC34,1,16,8.5,-1,17.5,0
1,LKC34,1,16,8.5,-1,18,1
1,LKC34,1,16,8.5,-2,1.5,176
1,LKC34,1,16,8.5,-2,2,493
1,LKC34,1,16,8.5,-2,2.5,386
1,LKC34,1,16,8.5,-2,3,1162
1,LKC34,1,16,8.5,-2,3.5,0
1,LKC34,1,16,8.5,-2,4,0
1,LKC34,1,16,8.5,-2,4.5,847
1,LKC34,1,16,8.5,-2,5,1080
1,LKC34,1,16,8.5,-2,5.5,0
1,LKC34,1,16,8.5,-2,6,1467
1,LKC34,1,16,8.5,-2,6.5,0
1,LKC34,1,16,8.5,-2,7,0
1,LKC34,1,16,8.5,-2,7.5,383
1,LKC34,1,16,8.5,-2,8,268
1,LKC34,1,16,8.5,-2,8.5,205
1,LKC34,1,16,8.5,-2,9,490
1,LKC34,1,16,8.5,-2,9.5,0
1,LKC34,1,16,8.5,-2,10,255
1,LKC34,1,16,8.5,-2,10.5,106
1,LKC34,1,16,8.5,-2,11,41
1,LKC34,1,16,8.5,-2,11.5,0
1,LKC34,1,16,8.5,-2,12,0
1,LKC34,1,16,8.5,-2,12.5,0
1,LKC34,1,16,8.5,-2,13,0
1,LKC34,1,16,8.5,-2,13.5,0
1,LKC34,1,16,8.5,-2,14.5,0
1,LKC34,1,16,8.5,-2,15,0
1,LKC34,1,16,8.5,-2,15.5,0
1,LKC34,1,16,8.5,-2,16,0
1,LKC34,1,16,8.5,-2,16.5,28
1,LKC34,1,16,8.5,-2,17,63
1,LKC34,1,16,8.5,-2,17.5,0
1,LKC34,1,16,8.5,-2,18,0
1,LKC34,2,14.5,8.5,-1,1.5,0
1,LKC34,2,14.5,8.5,-1,2,451
1,LKC34,2,14.5,8.5,-1,2.5,859
1,LKC34,2,14.5,8.5,-1,3,745
1,LKC34,2,14.5,8.5,-1,3.5,0
1,LKC34,2,14.5,8.5,-1,4,0
1,LKC34,2,14.5,8.5,-1,4.5,2244
1,LKC34,2,14.5,8.5,-1,5,2281
1,LKC34,2,14.5,8.5,-1,5.5,0
1,LKC34,2,14.5,8.5,-1,6,1704
1,LKC34,2,14.5,8.5,-1,6.5,0
1,LKC34,2,14.5,8.5,-1,7,0
1,LKC34,2,14.5,8.5,-1,7.5,689
1,LKC34,2,14.5,8.5,-1,8,471
1,LKC34,2,14.5,8.5,-1,8.5,448
1,LKC34,2,14.5,8.5,-1,9,269
1,LKC34,2,14.5,8.5,-1,9.5,259
1,LKC34,2,14.5,8.5,-1,10,73
1,LKC34,2,14.5,8.5,-1,10.5,367
1,LKC34,2,14.5,8.5,-1,11,33
1,LKC34,2,14.5,8.5,-1,11.5,73
1,LKC34,2,14.5,8.5,-1,12,208
1,LKC34,2,14.5,8.5,-1,12.5,36
1,LKC34,2,14.5,8.5,-1,13,54
1,LKC34,2,14.5,8.5,-1,13.5,82
1,LKC34,2,14.5,8.5,-1,14.5,112
1,LKC34,2,14.5,8.5,-1,15,8
1,LKC34,2,14.5,8.5,-1,15.5,23
1,LKC34,2,14.5,8.5,-1,16,61
1,LKC34,2,14.5,8.5,-1,16.5,0
1,LKC34,2,14.5,8.5,-1,17,4
1,LKC34,2,14.5,8.5,-1,17.5,0
1,LKC34,2,14.5,8.5,-1,18,21
1,LKC34,2,14.5,8.5,-2,1.5,0
1,LKC34,2,14.5,8.5,-2,2,244
1,LKC34,2,14.5,8.5,-2,2.5,61
1,LKC34,2,14.5,8.5,-2,3,300
1,LKC34,2,14.5,8.5,-2,3.5,0
1,LKC34,2,14.5,8.5,-2,4,0
1,LKC34,2,14.5,8.5,-2,4.5,1337
1,LKC34,2,14.5,8.5,-2,5,604
1,LKC34,2,14.5,8.5,-2,5.5,0
1,LKC34,2,14.5,8.5,-2,6,1082
1,LKC34,2,14.5,8.5,-2,6.5,0
1,LKC34,2,14.5,8.5,-2,7,0
1,LKC34,2,14.5,8.5,-2,7.5,628
1,LKC34,2,14.5,8.5,-2,8,371
1,LKC34,2,14.5,8.5,-2,8.5,157
1,LKC34,2,14.5,8.5,-2,9,261
1,LKC34,2,14.5,8.5,-2,9.5,21
1,LKC34,2,14.5,8.5,-2,10,0
1,LKC34,2,14.5,8.5,-2,10.5,425
1,LKC34,2,14.5,8.5,-2,11,0
1,LKC34,2,14.5,8.5,-2,11.5,0
1,LKC34,2,14.5,8.5,-2,12,160
1,LKC34,2,14.5,8.5,-2,12.5,0
1,LKC34,2,14.5,8.5,-2,13,0
1,LKC34,2,14.5,8.5,-2,13.5,0
1,LKC34,2,14.5,8.5,-2,14.5,0
1,LKC34,2,14.5,8.5,-2,15,0
1,LKC34,2,14.5,8.5,-2,15.5,0
1,LKC34,2,14.5,8.5,-2,16,0
1,LKC34,2,14.5,8.5,-2,16.5,48
1,LKC34,2,14.5,8.5,-2,17,3
1,LKC34,2,14.5,8.5,-2,17.5,0
1,LKC34,2,14.5,8.5,-2,18,0
1,DL238,1,13,9.5,-1,1.5,14
1,DL238,1,13,9.5,-1,2,540
1,DL238,1,13,9.5,-1,2.5,19
1,DL238,1,13,9.5,-1,3,158
1,DL238,1,13,9.5,-1,3.5,0
1,DL238,1,13,9.5,-1,4,0
1,DL238,1,13,9.5,-1,4.5,849
1,DL238,1,13,9.5,-1,5,1101
1,DL238,1,13,9.5,-1,5.5,0
1,DL238,1,13,9.5,-1,6,652
1,DL238,1,13,9.5,-1,6.5,0
1,DL238,1,13,9.5,-1,7,0
1,DL238,1,13,9.5,-1,7.5,1119
1,DL238,1,13,9.5,-1,8,1022
1,DL238,1,13,9.5,-1,8.5,898
1,DL238,1,13,9.5,-1,9,587
1,DL238,1,13,9.5,-1,9.5,304
1,DL238,1,13,9.5,-1,10,364
1,DL238,1,13,9.5,-1,10.5,184
1,DL238,1,13,9.5,-1,11,370
1,DL238,1,13,9.5,-1,11.5,58
1,DL238,1,13,9.5,-1,12,56
1,DL238,1,13,9.5,-1,12.5,28
1,DL238,1,13,9.5,-1,13,84
1,DL238,1,13,9.5,-1,13.5,2
1,DL238,1,13,9.5,-1,14.5,1
1,DL238,1,13,9.5,-1,15,0
1,DL238,1,13,9.5,-1,15.5,0
1,DL238,1,13,9.5,-1,16,0
1,DL238,1,13,9.5,-1,16.5,41
1,DL238,1,13,9.5,-1,17,0
1,DL238,1,13,9.5,-1,17.5,0
1,DL238,1,13,9.5,-1,18,0
1,DL238,1,13,9.5,-2,1.5,0
1,DL238,1,13,9.5,-2,2,187
1,DL238,1,13,9.5,-2,2.5,0
1,DL238,1,13,9.5,-2,3,0
1,DL238,1,13,9.5,-2,3.5,0
1,DL238,1,13,9.5,-2,4,0
1,DL238,1,13,9.5,-2,4.5,468
1,DL238,1,13,9.5,-2,5,258
1,DL238,1,13,9.5,-2,5.5,0
1,DL238,1,13,9.5,-2,6,400
1,DL238,1,13,9.5,-2,6.5,0
1,DL238,1,13,9.5,-2,7,0
1,DL238,1,13,9.5,-2,7.5,670
1,DL238,1,13,9.5,-2,8,699
1,DL238,1,13,9.5,-2,8.5,709
1,DL238,1,13,9.5,-2,9,306
1,DL238,1,13,9.5,-2,9.5,121
1,DL238,1,13,9.5,-2,10,155
1,DL238,1,13,9.5,-2,10.5,12
1,DL238,1,13,9.5,-2,11,137
1,DL238,1,13,9.5,-2,11.5,0
1,DL238,1,13,9.5,-2,12,0
1,DL238,1,13,9.5,-2,12.5,0
1,DL238,1,13,9.5,-2,13,0
1,DL238,1,13,9.5,-2,13.5,0
1,DL238,1,13,9.5,-2,14.5,0
1,DL238,1,13,9.5,-2,15,0
1,DL238,1,13,9.5,-2,15.5,0
1,DL238,1,13,9.5,-2,16,0
1,DL238,1,13,9.5,-2,16.5,157
1,DL238,1,13,9.5,-2,17,0
1,DL238,1,13,9.5,-2,17.5,0
1,DL238,1,13,9.5,-2,18,0
1,DL238,2,12.5,8.5,-1,1.5,156
1,DL238,2,12.5,8.5,-1,2,238
1,DL238,2,12.5,8.5,-1,2.5,617
1,DL238,2,12.5,8.5,-1,3,494
1,DL238,2,12.5,8.5,-1,3.5,0
1,DL238,2,12.5,8.5,-1,4,0
1,DL238,2,12.5,8.5,-1,4.5,4198
1,DL238,2,12.5,8.5,-1,5,5505
1,DL238,2,12.5,8.5,-1,5.5,0
1,DL238,2,12.5,8.5,-1,6,3965
1,DL238,2,12.5,8.5,-1,6.5,0
1,DL238,2,12.5,8.5,-1,7,0
1,DL238,2,12.5,8.5,-1,7.5,1603
1,DL238,2,12.5,8.5,-1,8,694
1,DL238,2,12.5,8.5,-1,8.5,854
1,DL238,2,12.5,8.5,-1,9,415
1,DL238,2,12.5,8.5,-1,9.5,766
1,DL238,2,12.5,8.5,-1,10,333
1,DL238,2,12.5,8.5,-1,10.5,302
1,DL238,2,12.5,8.5,-1,11,342
1,DL238,2,12.5,8.5,-1,11.5,122
1,DL238,2,12.5,8.5,-1,12,94
1,DL238,2,12.5,8.5,-1,12.5,216
1,DL238,2,12.5,8.5,-1,13,27
1,DL238,2,12.5,8.5,-1,13.5,20
1,DL238,2,12.5,8.5,-1,14.5,0
1,DL238,2,12.5,8.5,-1,15,9
1,DL238,2,12.5,8.5,-1,15.5,13
1,DL238,2,12.5,8.5,-1,16,6
1,DL238,2,12.5,8.5,-1,16.5,0
1,DL238,2,12.5,8.5,-1,17,0
1,DL238,2,12.5,8.5,-1,17.5,0
1,DL238,2,12.5,8.5,-1,18,12
1,DL238,2,12.5,8.5,-2,1.5,246
1,DL238,2,12.5,8.5,-2,2,150
1,DL238,2,12.5,8.5,-2,2.5,227
1,DL238,2,12.5,8.5,-2,3,311
1,DL238,2,12.5,8.5,-2,3.5,0
1,DL238,2,12.5,8.5,-2,4,0
1,DL238,2,12.5,8.5,-2,4.5,2401
1,DL238,2,12.5,8.5,-2,5,2929
1,DL238,2,12.5,8.5,-2,5.5,0
1,DL238,2,12.5,8.5,-2,6,1841
1,DL238,2,12.5,8.5,-2,6.5,0
1,DL238,2,12.5,8.5,-2,7,0
1,DL238,2,12.5,8.5,-2,7.5,1327
1,DL238,2,12.5,8.5,-2,8,591
1,DL238,2,12.5,8.5,-2,8.5,479
1,DL238,2,12.5,8.5,-2,9,200
1,DL238,2,12.5,8.5,-2,9.5,639
1,DL238,2,12.5,8.5,-2,10,108
1,DL238,2,12.5,8.5,-2,10.5,121
1,DL238,2,12.5,8.5,-2,11,245
1,DL238,2,12.5,8.5,-2,11.5,34
1,DL238,2,12.5,8.5,-2,12,138
1,DL238,2,12.5,8.5,-2,12.5,44
1,DL238,2,12.5,8.5,-2,13,2
1,DL238,2,12.5,8.5,-2,13.5,3
1,DL238,2,12.5,8.5,-2,14.5,0
1,DL238,2,12.5,8.5,-2,15,0
1,DL238,2,12.5,8.5,-2,15.5,0
1,DL238,2,12.5,8.5,-2,16,25
1,DL238,2,12.5,8.5,-2,16.5,0
1,DL238,2,12.5,8.5,-2,17,0
1,DL238,2,12.5,8.5,-2,17.5,0
1,DL238,2,12.5,8.5,-2,18,12
1,JT11398,1,11.5,9,-1,1.5,55
1,JT11398,1,11.5,9,-1,2,83
1,JT11398,1,11.5,9,-1,2.5,135
1,JT11398,1,11.5,9,-1,3,87
1,JT11398,1,11.5,9,-1,3.5,0
1,JT11398,1,11.5,9,-1,4,0
1,JT11398,1,11.5,9,-1,4.5,646
1,JT11398,1,11.5,9,-1,5,936
1,JT11398,1,11.5,9,-1,5.5,0
1,JT11398,1,11.5,9,-1,6,612
1,JT11398,1,11.5,9,-1,6.5,0
1,JT11398,1,11.5,9,-1,7,0
1,JT11398,1,11.5,9,-1,7.5,992
1,JT11398,1,11.5,9,-1,8,722
1,JT11398,1,11.5,9,-1,8.5,530
1,JT11398,1,11.5,9,-1,9,251
1,JT11398,1,11.5,9,-1,9.5,94
1,JT11398,1,11.5,9,-1,10,174
1,JT11398,1,11.5,9,-1,10.5,107
1,JT11398,1,11.5,9,-1,11,28
1,JT11398,1,11.5,9,-1,11.5,190
1,JT11398,1,11.5,9,-1,12,11
1,JT11398,1,11.5,9,-1,12.5,8
1,JT11398,1,11.5,9,-1,13,28
1,JT11398,1,11.5,9,-1,13.5,0
1,JT11398,1,11.5,9,-1,14.5,1
1,JT11398,1,11.5,9,-1,15,0
1,JT11398,1,11.5,9,-1,15.5,0
1,JT11398,1,11.5,9,-1,16,0
1,JT11398,1,11.5,9,-1,16.5,8
1,JT11398,1,11.5,9,-1,17,0
1,JT11398,1,11.5,9,-1,17.5,0
1,JT11398,1,11.5,9,-1,18,0
1,JT11398,1,11.5,9,-2,1.5,0
1,JT11398,1,11.5,9,-2,2,61
1,JT11398,1,11.5,9,-2,2.5,131
1,JT11398,1,11.5,9,-2,3,59
1,JT11398,1,11.5,9,-2,3.5,0
1,JT11398,1,11.5,9,-2,4,0
1,JT11398,1,11.5,9,-2,4.5,328
1,JT11398,1,11.5,9,-2,5,707
1,JT11398,1,11.5,9,-2,5.5,0
1,JT11398,1,11.5,9,-2,6,225
1,JT11398,1,11.5,9,-2,6.5,0
1,JT11398,1,11.5,9,-2,7,0
1,JT11398,1,11.5,9,-2,7.5,1140
1,JT11398,1,11.5,9,-2,8,364
1,JT11398,1,11.5,9,-2,8.5,250
1,JT11398,1,11.5,9,-2,9,36
1,JT11398,1,11.5,9,-2,9.5,65
1,JT11398,1,11.5,9,-2,10,26
1,JT11398,1,11.5,9,-2,10.5,13
1,JT11398,1,11.5,9,-2,11,0
1,JT11398,1,11.5,9,-2,11.5,3
1,JT11398,1,11.5,9,-2,12,0
1,JT11398,1,11.5,9,-2,12.5,0
1,JT11398,1,11.5,9,-2,13,0
1,JT11398,1,11.5,9,-2,13.5,0
1,JT11398,1,11.5,9,-2,14.5,0
1,JT11398,1,11.5,9,-2,15,0
1,JT11398,1,11.5,9,-2,15.5,0
1,JT11398,1,11.5,9,-2,16,0
1,JT11398,1,11.5,9,-2,16.5,38
1,JT11398,1,11.5,9,-2,17,0
1,JT11398,1,11.5,9,-2,17.5,0
1,JT11398,1,11.5,9,-2,18,0
1,JT11398,2,13.5,9,-1,1.5,43
1,JT11398,2,13.5,9,-1,2,98
1,JT11398,2,13.5,9,-1,2.5,70
1,JT11398,2,13.5,9,-1,3,278
1,JT11398,2,13.5,9,-1,3.5,0
1,JT11398,2,13.5,9,-1,4,0
1,JT11398,2,13.5,9,-1,4.5,618
1,JT11398,2,13.5,9,-1,5,497
1,JT11398,2,13.5,9,-1,5.5,0
1,JT11398,2,13.5,9,-1,6,621
1,JT11398,2,13.5,9,-1,6.5,0
1,JT11398,2,13.5,9,-1,7,0
1,JT11398,2,13.5,9,-1,7.5,66
1,JT11398,2,13.5,9,-1,8,229
1,JT11398,2,13.5,9,-1,8.5,192
1,JT11398,2,13.5,9,-1,9,36
1,JT11398,2,13.5,9,-1,9.5,83
1,JT11398,2,13.5,9,-1,10,34
1,JT11398,2,13.5,9,-1,10.5,192
1,JT11398,2,13.5,9,-1,11,52
1,JT11398,2,13.5,9,-1,11.5,11
1,JT11398,2,13.5,9,-1,12,16
1,JT11398,2,13.5,9,-1,12.5,15
1,JT11398,2,13.5,9,-1,13,16
1,JT11398,2,13.5,9,-1,13.5,21
1,JT11398,2,13.5,9,-1,14.5,2
1,JT11398,2,13.5,9,-1,15,5
1,JT11398,2,13.5,9,-1,15.5,1
1,JT11398,2,13.5,9,-1,16,0
1,JT11398,2,13.5,9,-1,16.5,4
1,JT11398,2,13.5,9,-1,17,0
1,JT11398,2,13.5,9,-1,17.5,0
1,JT11398,2,13.5,9,-1,18,0
1,JT11398,2,13.5,9,-2,1.5,13
1,JT11398,2,13.5,9,-2,2,72
1,JT11398,2,13.5,9,-2,2.5,90
1,JT11398,2,13.5,9,-2,3,86
1,JT11398,2,13.5,9,-2,3.5,0
1,JT11398,2,13.5,9,-2,4,0
1,JT11398,2,13.5,9,-2,4.5,538
1,JT11398,2,13.5,9,-2,5,535
1,JT11398,2,13.5,9,-2,5.5,0
1,JT11398,2,13.5,9,-2,6,327
1,JT11398,2,13.5,9,-2,6.5,0
1,JT11398,2,13.5,9,-2,7,0
1,JT11398,2,13.5,9,-2,7.5,42
1,JT11398,2,13.5,9,-2,8,116
1,JT11398,2,13.5,9,-2,8.5,68
1,JT11398,2,13.5,9,-2,9,11
1,JT11398,2,13.5,9,-2,9.5,92
1,JT11398,2,13.5,9,-2,10,46
1,JT11398,2,13.5,9,-2,10.5,106
1,JT11398,2,13.5,9,-2,11,3
1,JT11398,2,13.5,9,-2,11.5,10
1,JT11398,2,13.5,9,-2,12,0
1,JT11398,2,13.5,9,-2,12.5,0
1,JT11398,2,13.5,9,-2,13,0
1,JT11398,2,13.5,9,-2,13.5,0
1,JT11398,2,13.5,9,-2,14.5,0
1,JT11398,2,13.5,9,-2,15,0
1,JT11398,2,13.5,9,-2,15.5,0
1,JT11398,2,13.5,9,-2,16,0
1,JT11398,2,13.5,9,-2,16.5,7
1,JT11398,2,13.5,9,-2,17,0
1,JT11398,2,13.5,9,-2,17.5,0
1,JT11398,2,13.5,9,-2,18,0
1,EG4725,1,15,11,-1,1.5,83
1,EG4725,1,15,11,-1,2,472
1,EG4725,1,15,11,-1,2.5,1322
1,EG4725,1,15,11,-1,3,1945
1,EG4725,1,15,11,-1,3.5,0
1,EG4725,1,15,11,-1,4,0
1,EG4725,1,15,11,-1,4.5,3901
1,EG4725,1,15,11,-1,5,3941
1,EG4725,1,15,11,-1,5.5,0
1,EG4725,1,15,11,-1,6,2756
1,EG4725,1,15,11,-1,6.5,0
1,EG4725,1,15,11,-1,7,0
1,EG4725,1,15,11,-1,7.5,1713
1,EG4725,1,15,11,-1,8,2469
1,EG4725,1,15,11,-1,8.5,2309
1,EG4725,1,15,11,-1,9,2210
1,EG4725,1,15,11,-1,9.5,1378
1,EG4725,1,15,11,-1,10,1395
1,EG4725,1,15,11,-1,10.5,1672
1,EG4725,1,15,11,-1,11,1043
1,EG4725,1,15,11,-1,11.5,996
1,EG4725,1,15,11,-1,12,949
1,EG4725,1,15,11,-1,12.5,923
1,EG4725,1,15,11,-1,13,940
1,EG4725,1,15,11,-1,13.5,501
1,EG4725,1,15,11,-1,14.5,346
1,EG4725,1,15,11,-1,15,47
1,EG4725,1,15,11,-1,15.5,151
1,EG4725,1,15,11,-1,16,113
1,EG4725,1,15,11,-1,16.5,12
1,EG4725,1,15,11,-1,17,29
1,EG4725,1,15,11,-1,17.5,0
1,EG4725,1,15,11,-1,18,0
1,EG4725,1,15,11,-2,1.5,45
1,EG4725,1,15,11,-2,2,410
1,EG4725,1,15,11,-2,2.5,1045
1,EG4725,1,15,11,-2,3,1001
1,EG4725,1,15,11,-2,3.5,0
1,EG4725,1,15,11,-2,4,0
1,EG4725,1,15,11,-2,4.5,2494
1,EG4725,1,15,11,-2,5,1549
1,EG4725,1,15,11,-2,5.5,0
1,EG4725,1,15,11,-2,6,1028
1,EG4725,1,15,11,-2,6.5,0
1,EG4725,1,15,11,-2,7,0
1,EG4725,1,15,11,-2,7.5,1649
1,EG4725,1,15,11,-2,8,1744
1,EG4725,1,15,11,-2,8.5,1098
1,EG4725,1,15,11,-2,9,1380
1,EG4725,1,15,11,-2,9.5,779
1,EG4725,1,15,11,-2,10,948
1,EG4725,1,15,11,-2,10.5,731
1,EG4725,1,15,11,-2,11,642
1,EG4725,1,15,11,-2,11.5,474
1,EG4725,1,15,11,-2,12,449
1,EG4725,1,15,11,-2,12.5,390
1,EG4725,1,15,11,-2,13,472
1,EG4725,1,15,11,-2,13.5,265
1,EG4725,1,15,11,-2,14.5,148
1,EG4725,1,15,11,-2,15,0
1,EG4725,1,15,11,-2,15.5,33
1,EG4725,1,15,11,-2,16,0
1,EG4725,1,15,11,-2,16.5,31
1,EG4725,1,15,11,-2,17,0
1,EG4725,1,15,11,-2,17.5,0
1,EG4725,1,15,11,-2,18,0
1,EG4725,2,15,10.5,-1,1.5,469
1,EG4725,2,15,10.5,-1,2,876
1,EG4725,2,15,10.5,-1,2.5,2198
1,EG4725,2,15,10.5,-1,3,2774
1,EG4725,2,15,10.5,-1,3.5,0
1,EG4725,2,15,10.5,-1,4,0
1,EG4725,2,15,10.5,-1,4.5,7601
1,EG4725,2,15,10.5,-1,5,6439
1,EG4725,2,15,10.5,-1,5.5,0
1,EG4725,2,15,10.5,-1,6,5849
1,EG4725,2,15,10.5,-1,6.5,0
1,EG4725,2,15,10.5,-1,7,0
1,EG4725,2,15,10.5,-1,7.5,2255
1,EG4725,2,15,10.5,-1,8,2537
1,EG4725,2,15,10.5,-1,8.5,2744
1,EG4725,2,15,10.5,-1,9,2318
1,EG4725,2,15,10.5,-1,9.5,2258
1,EG4725,2,15,10.5,-1,10,2058
1,EG4725,2,15,10.5,-1,10.5,1817
1,EG4725,2,15,10.5,-1,11,930
1,EG4725,2,15,10.5,-1,11.5,994
1,EG4725,2,15,10.5,-1,12,1056
1,EG4725,2,15,10.5,-1,12.5,884
1,EG4725,2,15,10.5,-1,13,714
1,EG4725,2,15,10.5,-1,13.5,816
1,EG4725,2,15,10.5,-1,14.5,504
1,EG4725,2,15,10.5,-1,15,207
1,EG4725,2,15,10.5,-1,15.5,249
1,EG4725,2,15,10.5,-1,16,202
1,EG4725,2,15,10.5,-1,16.5,26
1,EG4725,2,15,10.5,-1,17,12
1,EG4725,2,15,10.5,-1,17.5,0
1,EG4725,2,15,10.5,-1,18,0
1,EG4725,2,15,10.5,-2,1.5,184
1,EG4725,2,15,10.5,-2,2,424
1,EG4725,2,15,10.5,-2,2.5,1257
1,EG4725,2,15,10.5,-2,3,1796
1,EG4725,2,15,10.5,-2,3.5,0
1,EG4725,2,15,10.5,-2,4,0
1,EG4725,2,15,10.5,-2,4.5,4463
1,EG4725,2,15,10.5,-2,5,2672
1,EG4725,2,15,10.5,-2,5.5,0
1,EG4725,2,15,10.5,-2,6,2297
1,EG4725,2,15,10.5,-2,6.5,0
1,EG4725,2,15,10.5,-2,7,0
1,EG4725,2,15,10.5,-2,7.5,1323
1,EG4725,2,15,10.5,-2,8,1259
1,EG4725,2,15,10.5,-2,8.5,1520
1,EG4725,2,15,10.5,-2,9,1356
1,EG4725,2,15,10.5,-2,9.5,1260
1,EG4725,2,15,10.5,-2,10,1129
1,EG4725,2,15,10.5,-2,10.5,1278
1,EG4725,2,15,10.5,-2,11,658
1,EG4725,2,15,10.5,-2,11.5,630
1,EG4725,2,15,10.5,-2,12,455
1,EG4725,2,15,10.5,-2,12.5,362
1,EG4725,2,15,10.5,-2,13,256
1,EG4725,2,15,10.5,-2,13.5,110
1,EG4725,2,15,10.5,-2,14.5,35
1,EG4725,2,15,10.5,-2,15,88
1,EG4725,2,15,10.5,-2,15.5,98
1,EG4725,2,15,10.5,-2,16,37
1,EG4725,2,15,10.5,-2,16.5,10
1,EG4725,2,15,10.5,-2,17,4
1,EG4725,2,15,10.5,-2,17.5,0
1,EG4725,2,15,10.5,-2,18,0
1,ED3017,1,13.5,9.5,-1,1.5,47
1,ED3017,1,13.5,9.5,-1,2,397
1,ED3017,1,13.5,9.5,-1,2.5,921
1,ED3017,1,13.5,9.5,-1,3,653
1,ED3017,1,13.5,9.5,-1,3.5,0
1,ED3017,1,13.5,9.5,-1,4,0
1,ED3017,1,13.5,9.5,-1,4.5,1525
1,ED3017,1,13.5,9.5,-1,5,1160
1,ED3017,1,13.5,9.5,-1,5.5,0
1,ED3017,1,13.5,9.5,-1,6,1276
1,ED3017,1,13.5,9.5,-1,6.5,0
1,ED3017,1,13.5,9.5,-1,7,0
1,ED3017,1,13.5,9.5,-1,7.5,1045
1,ED3017,1,13.5,9.5,-1,8,1017
1,ED3017,1,13.5,9.5,-1,8.5,811
1,ED3017,1,13.5,9.5,-1,9,799
1,ED3017,1,13.5,9.5,-1,9.5,837
1,ED3017,1,13.5,9.5,-1,10,374
1,ED3017,1,13.5,9.5,-1,10.5,292
1,ED3017,1,13.5,9.5,-1,11,346
1,ED3017,1,13.5,9.5,-1,11.5,189
